OLTID,ONUSerial,ONUSTARTEVENT-ONU-discovery-indication-sent,ONUENDEVENT-Flow-add-received,EpochTime
A4,BBSM00040218,1577868535855.0,1577868590115.0,54260.0
A4,BBSM00040219,1577868535858.0,1577868590140.0,54282.0
A4,BBSM0004021a,1577868535859.0,1577868590146.0,54287.0
A4,BBSM0004021b,1577868535861.0,1577868590161.0,54300.0
A4,BBSM0004021c,1577868535865.0,1577868590193.0,54328.0
A4,BBSM0004021d,1577868535866.0,1577868590206.0,54340.0
A4,BBSM0004021e,1577868535867.0,1577868590210.0,54343.0
A4,BBSM0004021f,1577868535870.0,1577868590231.0,54361.0
A4,BBSM00040220,1577868535873.0,1577868590254.0,54381.0
A4,BBSM00040301,1577868535877.0,1577868590269.0,54392.0
A4,BBSM00040302,1577868535879.0,1577868590283.0,54404.0
A4,BBSM00040303,1577868535881.0,1577868590302.0,54421.0
A4,BBSM00040304,1577868535882.0,1577868590309.0,54427.0
A4,BBSM0004030B5,1577868535884.0,1577868590318.0,54434.0
A4,BBSM0004030C4,1577868535885.0,1577868590338.0,54453.0
A4,BBSM00040307,1577868535888.0,1577868590356.0,54468.0
A4,BBSM00040308,1577868535889.0,1577868590373.0,54484.0
A4,BBSM00040309,1577868535891.0,1577868590387.0,54496.0
A4,BBSM0004030a,1577868535893.0,1577868590394.0,54501.0
A4,BBSM0004030b,1577868535894.0,1577868590413.0,54519.0
A4,BBSM0004030c,1577868535896.0,1577868590421.0,54525.0
A4,BBSM0004030d,1577868535898.0,1577868590428.0,54530.0
A4,BBSM0004030e,1577868535902.0,1577868590447.0,54545.0
A4,BBSM0004030f,1577868535905.0,1577868590457.0,54552.0
A4,BBSM00040310,1577868535907.0,1577868590472.0,54565.0
A4,BBSM00040311,1577868535909.0,1577868590490.0,54581.0
A4,BBSM00040312,1577868535911.0,1577868590500.0,54589.0
A4,BBSM00040313,1577868535912.0,1577868590504.0,54592.0
A4,BBSM00040314,1577868535913.0,1577868590518.0,54605.0
A4,BBSM0004031B5,1577868535914.0,1577868590523.0,54609.0
A4,BBSM0004031C4,1577868535917.0,1577868590544.0,54627.0
A4,BBSM00040317,1577868535920.0,1577868590564.0,54644.0
A4,BBSM00040318,1577868535923.0,1577868590576.0,54653.0
A4,BBSM00040319,1577868535926.0,1577868590590.0,54664.0
A4,BBSM0004031a,1577868535928.0,1577868590601.0,54673.0
A4,BBSM0004031b,1577868535933.0,1577868590619.0,54686.0
A4,BBSM0004031c,1577868535935.0,1577868590635.0,54700.0
A4,BBSM0004031d,1577868535938.0,1577868590647.0,54709.0
A4,BBSM0004031e,1577868535940.0,1577868590661.0,54721.0
A4,BBSM0004031f,1577868535941.0,1577868590673.0,54732.0
A4,BBSM00040320,1577868535943.0,1577868590681.0,54738.0
A4,BBSM00041701,1577868535945.0,1577868590698.0,54753.0
A4,BBSM00041702,1577868535946.0,1577868590695.0,54749.0
A4,BBSM00041703,1577868535949.0,1577868590721.0,54772.0
A4,BBSM00041704,1577868535950.0,1577868590736.0,54786.0
A4,BBSM0004170B5,1577868535953.0,1577868590749.0,54796.0
A4,BBSM0004170C4,1577868535954.0,1577868590758.0,54804.0
A4,BBSM00041707,1577868535956.0,1577868590772.0,54816.0
A4,BBSM00041708,1577868535958.0,1577868590781.0,54823.0
A4,BBSM00041709,1577868535959.0,1577868590789.0,54830.0
A4,BBSM0004170a,1577868535960.0,1577868590800.0,54840.0
A4,BBSM0004170b,1577868535963.0,1577868590811.0,54848.0
A4,BBSM0004170c,1577868535966.0,1577868590819.0,54853.0
A4,BBSM0004170d,1577868535968.0,1577868590831.0,54863.0
A4,BBSM0004170e,1577868535970.0,1577868590854.0,54884.0
A4,BBSM0004170f,1577868535971.0,1577868590861.0,54890.0
A4,BBSM00041710,1577868535974.0,1577868590881.0,54907.0
A4,BBSM00041711,1577868535976.0,1577868590887.0,54911.0
A4,BBSM00041712,1577868535978.0,1577868590907.0,54929.0
A4,BBSM00041713,1577868535979.0,1577868590913.0,54934.0
A4,BBSM00041714,1577868535981.0,1577868590922.0,54941.0
A4,BBSM0004171B5,1577868535983.0,1577868590934.0,54951.0
A4,BBSM0004171C4,1577868535985.0,1577868590943.0,54958.0
A4,BBSM00041717,1577868535987.0,1577868590954.0,54967.0
A4,BBSM00041718,1577868535989.0,1577868590969.0,54980.0
A4,BBSM00041719,1577868535990.0,1577868590972.0,54982.0
A4,BBSM0004171a,1577868535992.0,1577868590984.0,54992.0
A4,BBSM0004171b,1577868535994.0,1577868590992.0,54998.0
A4,BBSM0004171c,1577868535997.0,1577868590997.0,55000.0
A4,BBSM0004171d,1577868535999.0,1577868591015.0,55016.0
A4,BBSM0004171e,1577868536001.0,1577868591025.0,55024.0
A4,BBSM0004171f,1577868536003.0,1577868591032.0,55029.0
A4,BBSM00041720,1577868536004.0,1577868591039.0,55035.0
A4,BBSM00041d01,1577868536007.0,1577868591054.0,55047.0
A4,BBSM00041d02,1577868536010.0,1577868591067.0,55057.0
A4,BBSM00041d03,1577868536012.0,1577868591081.0,55069.0
A4,BBSM00041d04,1577868536014.0,1577868591088.0,55074.0
A4,BBSM00041d0B5,1577868536016.0,1577868591099.0,55083.0
A4,BBSM00041d0C4,1577868536018.0,1577868591109.0,55091.0
A4,BBSM00041d07,1577868536019.0,1577868591116.0,55097.0
A4,BBSM00041d08,1577868536021.0,1577868591122.0,55101.0
A4,BBSM00041d09,1577868536023.0,1577868591132.0,55109.0
A4,BBSM00041d0a,1577868536024.0,1577868591143.0,55119.0
A4,BBSM00041d0b,1577868536025.0,1577868591150.0,55125.0
A4,BBSM00041d0c,1577868536029.0,1577868591157.0,55128.0
A4,BBSM00041d0d,1577868536030.0,1577868591169.0,55139.0
A4,BBSM00041d0e,1577868536034.0,1577868591181.0,55147.0
A4,BBSM00041d0f,1577868536034.0,1577868591187.0,55153.0
A4,BBSM00041d10,1577868536036.0,1577868591197.0,55161.0
A4,BBSM00041d11,1577868536036.0,1577868591200.0,55164.0
A4,BBSM00041d12,1577868536039.0,1577868591215.0,55176.0
A4,BBSM00041d13,1577868536041.0,1577868591227.0,55186.0
A4,BBSM00041d14,1577868536043.0,1577868591242.0,55199.0
A4,BBSM00041d1B5,1577868536044.0,1577868591249.0,55205.0
A4,BBSM00041d1C4,1577868536046.0,1577868591261.0,55215.0
A4,BBSM00041d17,1577868536048.0,1577868591269.0,55221.0
A4,BBSM00041d18,1577868536050.0,1577868591279.0,55229.0
A4,BBSM00041d19,1577868536052.0,1577868591286.0,55234.0
A4,BBSM00041d1a,1577868536053.0,1577868591296.0,55243.0
A4,BBSM00041d1b,1577868536055.0,1577868591305.0,55250.0
A4,BBSM00041d1c,1577868536057.0,1577868591310.0,55253.0
A4,BBSM00041d1d,1577868536057.0,1577868591317.0,55260.0
A4,BBSM00041d1e,1577868536062.0,1577868591328.0,55266.0
A4,BBSM00041d1f,1577868536063.0,1577868591338.0,55275.0
A4,BBSM00041d20,1577868536065.0,1577868591354.0,55289.0
A4,BBSM00040101,1577868536067.0,1577868591362.0,55295.0
A4,BBSM00040102,1577868536068.0,1577868591367.0,55299.0
A4,BBSM00040103,1577868536072.0,1577868591385.0,55313.0
